,S3AQ2A1,CHECK321,S3AQ51,S3AQ10D,S3AQ10GR
434,18,2.0, , , 
435, ,, , , 
436, ,, , , 
437, ,, , , 
438,40,1.0,40, , 
439,12,1.0,13, , 
440,13,1.0,13, , 
441,15,2.0,23, , 
442, ,, , , 
443, ,, , , 
444, ,, , , 
445, ,, , , 
446, ,, , , 
447, ,, , , 
448, ,, , , 
449, ,, , , 
450, ,, , , 
451, ,, , , 
452,17,1.0,19,37,38
453,15,1.0, ,40,41
454, ,, , , 
455, ,, , , 
456,15,2.0,16, , 
457, ,, , , 
458, ,, , , 
459,12,2.0,16, , 
460, ,, , , 
461, ,, , , 
462, ,, , , 
463,19,1.0,19,48,49
464, ,, , , 
465, ,, , , 
466,17,2.0,17, , 
467,31,1.0, , , 
468,12,1.0,19, , 
469,99,1.0,99, , 
470,18,2.0,18, , 
471, ,, , , 
472, ,, , , 
473, ,, , , 
474, ,, , , 
475, ,, , , 
476,15,1.0,15,39,40
477, ,, , , 
478,21,1.0,24,53,54
479, ,, , , 
480, ,, , , 
481,12,1.0,18,25,25
482, ,, , , 
483, ,, , , 
484, ,, , , 
485, ,, , , 
486, ,, , , 
487, ,, , , 
488, ,, , , 
489, ,, , , 
490,15,2.0,18, , 
491,14,1.0,14, , 
492,13,1.0,20,17,17
493,14,2.0,17, , 
494, ,, , , 
495, ,, , , 
496, ,, , , 
497,15,1.0, , , 
498,12,1.0,18,34,34
499,18,1.0,18, , 
500,7,1.0,7, , 
501, ,, , , 
502, ,, , , 
503, ,, , , 
504,19,2.0,21,35,35
505,12,1.0,16,16,16
506, ,, , , 
507, ,, , , 
508,13,1.0,13, , 
509, ,, , , 
510,13,1.0,17,27,28
511,17,1.0,17, , 
512,12,1.0,16,25,51
513, ,, , , 
514, ,, , , 
515,13,1.0,13,25,25
516,24,1.0,24,27,28
517, ,, , , 
518, ,, , , 
519,17,1.0,18, , 
520, ,, , , 
521, ,, , , 
522,13,1.0,17,17,23
523, ,, , , 
524, ,, , , 
525,15,2.0,30, , 
526, ,, , , 
527, ,, , , 
528,16,1.0,21,38,39
529,17,1.0,18,18,19
530,18,1.0,27,27,27
531,19,1.0,21,28,28
532,22,1.0,24,24,24
533, ,, , , 
534, ,, , , 
535,18,2.0,18, , 
536,14,1.0,25,99,99
537, ,, , , 
538,35,1.0,35,60,61
539,13,1.0,19, , 
540,12,2.0,14, , 
541,15,1.0,15,17,24
542, ,, , , 
543, ,, , , 
544, ,, , , 
545,15,2.0,15, , 
546,19,2.0,35, , 
547,14,1.0,20, , 
548,22,2.0,25, , 
549, ,, , , 
550, ,, , , 
551, ,, , , 
552,13,1.0,19, , 
553, ,, , , 
554, ,, , , 
555, ,, , , 
556, ,, , , 
557, ,, , , 
558, ,, , , 
559,15,1.0, ,36,37
560,21,2.0,22, , 
561,18,1.0,22, , 
562, ,, , , 
563, ,, , , 
564,13,2.0,15,18,18
565, ,, , , 
566,18,2.0,18, , 
567,15,2.0, , , 
568, ,, , , 
569,19,2.0,19, , 
570, ,, , , 
571, ,, , , 
572, ,, , , 
573,14,1.0,16,61,61
574,8,1.0,14, , 
575,16,1.0,16,30,31
576, ,, , , 
577,14,2.0,18, , 
578, ,, , , 
579, ,, , , 
580, ,, , , 
581,8,2.0,8, , 
582,18,2.0,19, , 
583, ,, , , 
584, ,, , , 
585,14,2.0,14,60,60
586,15,2.0, , , 
587,14,2.0,15, , 
588, ,, , , 
589, ,, , , 
590, ,, , , 
591,14,2.0,18,35,35
